id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,mean_arm_plddt,min_arm_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm_soft,pass_all,rank,panel_selected
fusion_s578974m11_s422992m5_v10,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,164,90.3,93.16,91.73,90.3,66.87,21.44,0.56,True,True,True,False,True,1,True
fusion_s967366m11_s422992m5_v4,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,169,93.02,90.25,91.63,90.25,78.45,18.18,0.6,True,True,True,False,True,2,True
fusion_s967366m11_s422992m5_v10,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,157,90.36,92.78,91.57,90.36,66.4,20.12,0.54,True,True,True,False,True,3,True
fusion_s578974m11_s938332m1_v10,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,147,89.52,92.99,91.25,89.52,67.61,21.69,0.59,True,True,True,False,True,4,True
fusion_s578974m11_s422992m5_v4,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,176,92.63,89.76,91.19,89.76,74.88,19.57,0.58,True,True,True,False,True,5,True
fusion_s578974m11_s255454m5_v6,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,155,88.95,93.18,91.06,88.95,41.95,22.96,0.56,True,True,True,False,True,6,True
fusion_s578974m11_s422992m5_v9,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,176,89.77,92.31,91.04,89.77,66.65,23.32,0.52,True,True,True,False,True,7,False
fusion_s578974m11_s255454m5_v8,ab42_l89_s578974_mpnn11,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,165,88.88,93.13,91.0,88.88,42.28,23.62,0.53,True,True,True,False,True,8,True
fusion_s578974m11_s422992m5_v2,ab42_l89_s578974_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,179,92.46,89.45,90.95,89.45,41.02,23.06,0.52,True,True,True,False,True,9,False
fusion_s578974m11_s938332m1_v1,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,157,92.28,89.6,90.94,89.6,45.47,23.81,0.56,True,True,True,False,True,10,True
fusion_s578974m11_s938332m1_v3,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,167,92.24,89.54,90.89,89.54,41.49,24.25,0.54,True,True,True,False,True,11,False
fusion_s578974m11_s938332m1_v2,ab42_l89_s578974_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,162,92.27,89.47,90.87,89.47,42.41,24.09,0.55,True,True,True,False,True,12,False
fusion_s311742m16_s422992m5_v4,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,177,91.6,89.89,90.75,89.89,75.11,21.49,0.57,True,True,True,False,True,13,True
fusion_s311742m16_s938332m1_v4,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,160,92.07,89.39,90.73,89.39,80.58,20.76,0.6,True,True,True,False,True,14,True
